,hotel_id,lat,lng
0,75737,40.76280000000003,-73.98359999999997
1,93401,40.743369930607756,-73.98998006939227
2,224217,40.74417992339438,-73.98334993782102
3,488793,40.72484000000003,-74.00429999999994
4,1028569,40.71989000000008,-74.0101899849963
5,1383001,40.716550054965666,-73.99466006996919
6,1733337,40.75812003664377,-73.96232998889145
7,1776857,40.75116433749628,-73.98257390634456
8,2643161,40.74511997446484,-73.98872997056961
9,7148761,40.75756954998772,-73.98562847333989
10,7379289,-33.548139,151.22587950000002
11,8541913,40.75195991949923,-73.99092001110846
12,9608281,40.71455000000003,-74.00713999999994
13,10036825,40.71455000000003,-74.00713999999994
14,15646553,40.70013230050751,-74.09442071725903
15,15697497,28.477680000000078,77.48020000000008
16,93612,40.961250000000064,-72.90929999999997
17,252972,48.8825000366438,2.369119956142936
18,260396,42.938960000000066,-74.18892999999997
19,292140,40.71964998889156,-73.99479004385704
20,295340,41.787090000000035,-71.94963999999999
21,4762540,40.67877219577991,-73.94408475417077
22,7363884,40.71455000000003,-74.00713999999994
23,7816364,40.79638279429521,-73.88745668457348
24,10345260,40.71978001832189,-74.03679006275586
25,11640620,40.71255000000008,-74.00257999999997
26,15035436,40.71646000000004,-73.99675999999994
27,93344,43.77570000000003,-75.43740999999994
28,122016,40.77250993060774,-73.94906004385705
29,216224,40.6812000766057,-73.99148003664367
30,646432,40.72987998167816,-74.00132002553516
31,651552,-27.43898252448802,153.04458245814823
32,675616,40.58876799770463,-74.10509006276232
33,1218720,40.72905000000003,-74.01065999999997
34,1456416,40.72504366714182,-74.00612650498896
35,1508000,40.64500123230137,-73.79794458397139
36,1947936,40.72484000000003,-74.00429999999994
37,5535264,27.773520000000076,-82.62359999999995
38,6582176,40.765140080500856,-73.97906995614285
39,14183968,40.63382000000007,-73.99692999999996
40,93437,40.75949000000003,-73.98534999999998
41,93565,40.74806003664376,-73.98759995614286
42,121981,40.75218004385714,-73.98554998167812
43,247805,40.73236000000003,-74.06720999999999
44,673661,40.717369956142946,-73.99576001832183
45,1529213,40.63629006939236,-73.9908400294303
46,1540349,40.760192943726736,-73.98889041159241
47,1553789,40.709880000000055,-74.01375999999993
48,1930621,40.80881000000005,-73.94795999999997
49,2323069,-45.86722004053884,170.45548005107048
50,99327,40.75259006939238,-73.97466995614288
51,1207039,40.71455000000003,-74.00713999999994
52,1234559,40.709030054965666,-74.00896000779024
53,1903743,40.72804000000008,-73.98498999999998
54,7250943,31.3490066025463,-86.80819050089522
55,10476799,39.85850862760841,-74.52596317892504
56,15307647,40.75756954998772,-73.98562847333989
57,224221,40.71455000000003,-74.00713999999994
58,1206493,40.682086669715524,-73.97867432806277
59,1497821,40.71455000000003,-74.00713999999994
60,1738973,40.63547870068301,-74.15247709088842
61,6701149,40.76399000779032,-73.99411005669633
62,7144541,40.722150405216695,-74.01163511627915
63,7930077,40.77043000000003,-73.95716999999996
64,9809501,40.59454050000001,-74.13594074999999
65,11014365,40.71920000000006,-74.04183999999998
66,12675805,40.74636993060774,-73.98943004385704
67,15698525,40.71748000000008,-74.04384999999996
68,93340,40.75222999610494,-73.97967994835261
69,294812,40.72484000000003,-74.00429999999994
70,671388,40.75195003664377,-73.93468992281737
71,1783324,40.7209899922098,-74.00417003664369
72,8298268,40.72748818098467,-74.03099917181582
73,13946524,40.71644272017718,-74.03744881606822
74,122020,40.74019002943041,-74.00349996335622
75,650532,40.71455000000003,-74.00713999999994
76,1508132,40.73854879603925,-74.01009763470293
77,2173604,40.74206000000004,-74.00381999999996
78,6217892,40.762119992209755,-73.8314700561194
79,11236004,40.75688993060773,-73.99304004385702
80,13946532,40.714723858103525,-74.03449717353735
81,14010788,40.72095000000007,-73.96095999999994
82,93346,40.76491002943041,-73.97851993782099
83,142114,40.79320006939234,-73.97230995614287
84,216226,40.677919948929635,-73.97217992671254
85,261410,43.61517362195061,-70.95547133234012
86,290978,40.75708001110853,-73.98336995614285
87,568866,40.692450000000065,-73.99035999999995
88,601762,40.718629948929625,-73.98994996335621
89,1878946,40.80908000000005,-73.95193999999998
90,3236642,40.71806008050086,-73.98633997056962
91,3613090,41.04748054536586,-73.5392084882927
92,10541730,40.72644998889156,-73.98919992671254
93,10679074,40.75756954998772,-73.98562847333989
94,13946530,40.71644272017718,-74.03744881606822
95,15751330,49.18450000000007,-2.1115199999999277
96,93345,17.913860000000057,77.51987000000008
97,1161761,40.77295491484186,-73.74715710701916
98,1626017,40.71455000000003,-74.00713999999994
99,2075681,40.67801007328753,-73.98453999610481
100,7177505,40.623299948929635,-73.96105001500361
101,208452,40.71480000779031,-74.01614994445745
102,1199940,40.7695674421881,-73.94136918366429
103,1626052,40.700048527713385,-73.96245679136592
